Run,LR,Dropout,Hidden,WD,Batch,Pearson_Mean,Pearson_SD,R2_Mean,R2_SD,Time_s
231,0.0001,0.4,"[512, 256, 128, 64]",1e-05,64,0.1477,0.0421,-1.4299,0.2662,11.4
232,0.0001,0.4,"[512, 256, 128, 64]",0.0001,16,0.2517,0.0255,-0.2563,0.1073,39.8
233,0.0001,0.4,"[512, 256, 128, 64]",0.0001,32,0.2479,0.0234,-0.4627,0.0763,19.3
234,0.0001,0.4,"[512, 256, 128, 64]",0.0001,64,0.2088,0.0291,-0.8051,0.2599,11.6
235,0.0001,0.4,"[768, 512, 256]",0,16,0.3229,0.0467,-0.1207,0.0195,46.7
236,0.0001,0.4,"[768, 512, 256]",0,32,0.2645,0.0696,-0.1495,0.1469,21.6
237,0.0001,0.4,"[768, 512, 256]",0,64,0.2600,0.0434,-0.2098,0.0186,12.5
238,0.0001,0.4,"[768, 512, 256]",1e-05,16,0.3095,0.0170,-0.0183,0.0186,46.9
239,0.0001,0.4,"[768, 512, 256]",1e-05,32,0.3089,0.0323,-0.1202,0.0608,25.4
240,0.0001,0.4,"[768, 512, 256]",1e-05,64,0.2943,0.0353,-0.1957,0.0890,14.6
241,0.0001,0.4,"[768, 512, 256]",0.0001,16,0.3320,0.0247,-0.0610,0.0376,50.6
242,0.0001,0.4,"[768, 512, 256]",0.0001,32,0.3004,0.0322,-0.0321,0.0557,26.0
243,0.0001,0.4,"[768, 512, 256]",0.0001,64,0.2804,0.0302,-0.1874,0.0405,13.4
